,QC,Voltage,pH,Temp
2021-09-06 16:29:54.000,1,19.74,2.15,43.15
2021-09-06 16:29:59.000,1,18.01,2.08,40.13
2021-09-06 16:30:04.000,1,18.73,2.18,43.46
2021-09-06 16:30:09.000,1,16.75,1.99,41.72
2021-09-06 16:30:14.000,1,18.02,1.85,43.65
2021-09-06 16:30:19.000,1,19.27,1.94,42.82
2021-09-06 16:30:24.000,1,17.4,1.94,43.17
2021-09-06 16:30:29.000,1,18.69,2.06,44.16
2021-09-06 16:30:34.000,1,15.33,1.97,41.79
2021-09-06 16:30:39.000,1,17.44,1.94,42.62
2021-09-06 16:30:44.000,1,18.35,2.14,40.61
2021-09-06 16:30:49.000,1,19.24,1.85,42.98
2021-09-06 16:30:54.000,1,16.55,2.16,43.76
2021-09-06 16:30:59.000,1,18.34,1.88,41.33
2021-09-06 16:31:04.000,1,16.04,1.99,41.47
2021-09-06 16:31:09.000,1,17.38,1.88,43.75
2021-09-06 16:31:14.000,1,15.08,2.03,40.82
2021-09-06 16:31:19.000,1,18.67,2.12,42.94
2021-09-06 16:31:24.000,1,19.39,1.96,41.02
2021-09-06 16:31:29.000,1,17.04,2.06,44.11
2021-09-06 16:31:34.100,1,18.47,2.07,41.14
2021-09-06 16:31:39.100,1,16.97,2.0,42.5
2021-09-06 16:31:44.100,1,16.61,1.95,40.76
2021-09-06 16:31:49.100,1,15.16,2.11,42.03
2021-09-06 16:31:54.100,1,15.24,2.06,44.58
2021-09-06 16:31:59.100,1,15.42,2.08,40.43
2021-09-06 16:32:04.100,1,19.19,1.81,40.43
2021-09-06 16:32:09.100,1,17.29,2.12,41.71
2021-09-06 16:32:14.100,1,19.99,1.94,44.59
2021-09-06 16:32:19.100,1,17.92,2.08,44.94
2021-09-06 16:32:24.100,1,19.6,2.17,43.44
2021-09-06 16:32:29.100,1,18.06,1.85,42.18
2021-09-06 16:32:34.100,1,17.87,1.92,41.69
2021-09-06 16:32:39.100,1,16.07,2.14,42.69
2021-09-06 16:32:44.100,1,19.61,1.82,40.61
2021-09-06 16:32:49.100,1,18.98,1.86,40.73
2021-09-06 16:32:54.100,1,15.16,1.99,41.09
2021-09-06 16:32:59.100,1,16.36,1.92,43.66
2021-09-06 16:33:04.100,1,15.78,1.88,44.04
2021-09-06 16:33:09.100,1,12.77,2.02,43.09
2021-09-06 16:33:14.100,1,16.81,1.95,43.02
2021-09-06 16:33:19.100,1,19.07,1.9,40.32
2021-09-06 16:33:24.200,1,18.99,2.1,44.27
2021-09-06 16:33:29.200,1,19.27,2.12,40.43
2021-09-06 16:33:34.200,1,15.93,2.04,40.94
2021-09-06 16:33:39.200,1,17.9,1.9,43.81
2021-09-06 16:33:44.200,1,19.07,2.0,40.64
2021-09-06 16:33:49.200,1,15.59,1.99,42.29
2021-09-06 16:33:54.200,1,18.13,2.11,43.7
2021-09-06 16:33:59.200,1,16.3,1.99,42.77
2021-09-06 16:34:04.200,1,16.77,1.91,41.73
2021-09-06 16:34:09.200,1,18.6,2.0,40.61
2021-09-06 16:34:14.200,1,18.98,2.01,43.96
2021-09-06 16:34:19.200,1,15.31,1.98,42.61
2021-09-06 16:34:24.200,1,17.75,2.16,41.62
2021-09-06 16:34:29.200,1,17.11,2.15,44.22
2021-09-06 16:34:34.200,1,15.87,1.96,42.85
2021-09-06 16:34:39.200,1,17.57,1.81,41.07
2021-09-06 16:34:44.200,1,15.09,2.14,42.93
2021-09-06 16:34:49.200,1,17.77,1.88,42.21
2021-09-06 16:34:54.200,1,16.26,2.05,43.35
2021-09-06 16:34:59.200,1,15.14,1.99,42.43
2021-09-06 16:35:04.200,1,16.83,2.06,41.64
2021-09-06 16:35:09.200,1,18.47,1.84,43.23
2021-09-06 16:35:14.200,1,17.15,1.95,41.87
2021-09-06 16:35:19.300,1,15.11,2.05,43.37
2021-09-06 16:35:24.300,1,15.05,1.92,43.23
2021-09-06 16:35:29.300,1,19.47,2.06,42.63
2021-09-06 16:35:34.300,1,16.25,2.02,40.76
2021-09-06 16:35:59.700,1,16.04,1.81,40.8
2021-09-06 16:36:04.700,1,17.64,1.82,44.68
2021-09-06 16:36:09.700,1,16.36,2.14,42.57
2021-09-06 16:36:14.700,1,15.83,2.0,43.28
2021-09-06 16:36:19.700,1,16.37,2.16,40.11
2021-09-06 16:36:24.700,1,18.39,2.1,41.98
2021-09-06 16:36:29.700,1,15.54,1.84,40.65
2021-09-06 16:36:34.800,1,15.41,1.81,43.29
2021-09-06 16:36:39.800,1,16.09,1.92,42.38
2021-09-06 16:36:44.800,1,16.0,1.98,44.55
2021-09-06 16:36:49.800,1,16.27,1.89,44.71
2021-09-06 16:36:54.800,1,16.31,2.14,42.99
2021-09-06 16:36:59.800,1,16.1,1.87,40.54
2021-09-06 16:37:04.800,1,15.35,1.97,41.0
2021-09-06 16:37:09.800,1,19.76,2.0,44.17
2021-09-06 16:37:14.800,1,15.76,1.87,41.85
2021-09-06 16:37:19.800,1,16.07,2.16,40.64
2021-09-06 16:37:24.800,1,18.73,1.95,41.76
2021-09-06 16:37:29.800,1,15.27,1.85,42.49
2021-09-06 16:37:34.800,1,17.71,1.97,44.05
2021-09-06 16:37:39.800,1,18.79,2.1,43.57
2021-09-06 16:37:44.800,1,16.59,1.95,41.05
2021-09-06 16:37:49.800,1,17.16,2.19,44.95
2021-09-06 16:37:54.800,1,17.61,2.11,43.72
2021-09-06 16:37:59.800,1,16.81,1.82,42.93
2021-09-06 16:38:04.800,1,15.58,1.88,42.64
2021-09-06 16:38:09.900,1,16.4,2.03,40.91
2021-09-06 16:38:14.900,1,15.68,1.87,40.35
2021-09-06 16:38:19.900,1,17.41,2.09,42.01
2021-09-06 16:38:24.900,1,17.11,1.89,43.09
2021-09-06 16:38:29.900,1,16.02,2.06,41.22
2021-09-06 16:38:34.900,1,17.43,2.26,36.94
2021-09-06 16:38:39.900,1,15.38,1.98,43.88
2021-09-06 16:38:44.900,1,15.27,2.16,42.99
2021-09-06 16:38:49.900,1,18.53,1.97,40.8
2021-09-06 16:38:54.900,1,19.33,1.84,41.69
2021-09-06 16:38:59.900,1,17.58,2.0,42.66
2021-09-06 16:39:04.900,1,17.8,2.16,44.87
2021-09-06 16:39:09.900,1,15.81,2.16,41.41
2021-09-06 16:39:14.900,1,17.67,1.93,42.67
2021-09-06 16:39:19.900,1,17.84,1.87,43.28
2021-09-06 16:39:24.900,1,17.1,2.0,42.98
2021-09-06 16:39:29.900,1,15.53,1.96,44.7
2021-09-06 16:39:34.900,1,18.91,2.03,44.69
2021-09-06 16:39:39.900,1,16.15,1.82,42.78
2021-09-06 16:39:44.900,1,17.4,2.16,41.88
2021-09-06 16:39:49.900,1,15.71,1.9,43.71
2021-09-06 16:39:54.900,1,15.24,1.83,41.44
2021-09-06 16:40:00.000,1,17.66,1.87,40.83
2021-09-06 16:40:05.000,1,17.4,1.88,44.71
2021-09-06 16:40:10.000,1,18.62,1.97,41.63
2021-09-06 16:40:15.000,1,17.89,1.82,40.53
2021-09-06 16:40:20.000,1,17.04,1.84,41.62
2021-09-06 16:40:25.000,1,16.44,2.11,41.77
2021-09-06 16:40:30.000,1,18.74,1.99,41.41
2021-09-06 16:40:35.000,1,15.52,1.87,42.32
2021-09-06 16:40:40.000,1,15.09,1.87,43.2
2021-09-06 16:40:45.000,1,15.25,2.17,40.72
2021-09-06 16:40:50.000,1,16.2,2.17,42.42
2021-09-06 16:40:55.000,1,18.19,2.11,44.2
2021-09-06 16:41:00.000,1,16.12,1.91,40.79
2021-09-06 16:41:05.000,1,18.03,1.83,43.52
2021-09-06 16:41:10.000,1,15.62,2.16,40.77
2021-09-06 16:41:15.000,1,17.4,1.88,42.62
2021-09-06 16:41:20.000,1,19.96,2.09,42.7
2021-09-06 16:41:25.000,1,17.11,1.97,42.56
2021-09-06 16:41:30.000,1,19.1,2.06,43.08
2021-09-06 16:41:35.000,1,17.58,2.17,41.38
2021-09-06 16:41:40.000,1,17.64,1.97,41.57
2021-09-06 16:42:07.600,1,18.44,1.91,41.36
2021-09-06 16:42:12.600,1,17.16,2.1,40.72
2021-09-06 16:42:17.600,1,16.02,2.03,43.38
2021-09-06 16:42:22.600,1,17.17,2.02,41.55
2021-09-06 16:42:27.600,1,16.28,1.91,41.11
2021-09-06 16:42:32.600,1,16.35,1.92,43.94
2021-09-06 16:42:37.600,1,16.93,2.03,43.14
2021-09-06 16:42:42.600,1,17.62,1.94,42.7
2021-09-06 16:42:47.600,1,16.26,1.93,40.97
2021-09-06 16:42:52.600,1,15.35,2.46,41.09
2021-09-06 16:42:57.600,1,19.61,2.11,44.27
2021-09-06 16:43:02.600,1,15.35,2.46,41.09
2021-09-06 16:43:07.600,1,17.11,1.93,44.56
2021-09-06 16:43:12.600,1,17.57,1.93,42.81
2021-09-06 16:43:17.700,1,19.06,2.15,42.05
2021-09-06 16:43:22.700,1,16.19,2.14,40.47
