Time,Lot,pH,Temp,Voltage,DTime
2021-09-06 16:29:54.000,1,2.15,43.15,19.74,2021-09-06
2021-09-06 16:29:59.000,1,2.08,40.13,18.01,2021-09-06
2021-09-06 16:30:04.000,1,2.18,43.46,18.73,2021-09-06
2021-09-06 16:30:09.000,1,1.99,41.72,16.75,2021-09-06
2021-09-06 16:30:14.000,1,1.85,43.65,18.02,2021-09-06
2021-09-06 16:30:19.000,1,1.94,42.82,19.27,2021-09-06
2021-09-06 16:30:24.000,1,1.94,43.17,17.4,2021-09-06
2021-09-06 16:30:29.000,1,2.06,44.16,18.69,2021-09-06
2021-09-06 16:30:34.000,1,1.97,41.79,15.33,2021-09-06
2021-09-06 16:30:39.000,1,1.94,42.62,17.44,2021-09-06
2021-09-06 16:30:44.000,1,2.14,40.61,18.35,2021-09-06
2021-09-06 16:30:49.000,1,1.85,42.98,19.24,2021-09-06
2021-09-06 16:30:54.000,1,2.16,43.76,16.55,2021-09-06
2021-09-06 16:30:59.000,1,1.88,41.33,18.34,2021-09-06
2021-09-06 16:31:04.000,1,1.99,41.47,16.04,2021-09-06
2021-09-06 16:31:09.000,1,1.88,43.75,17.38,2021-09-06
2021-09-06 16:31:14.000,1,2.03,40.82,15.08,2021-09-06
2021-09-06 16:31:19.000,1,2.12,42.94,18.67,2021-09-06
2021-09-06 16:31:24.000,1,1.96,41.02,19.39,2021-09-06
2021-09-06 16:31:29.000,1,2.06,44.11,17.04,2021-09-06
2021-09-06 16:31:34.100,1,2.07,41.14,18.47,2021-09-06
2021-09-06 16:31:39.100,1,2.0,42.5,16.97,2021-09-06
2021-09-06 16:31:44.100,1,1.95,40.76,16.61,2021-09-06
2021-09-06 16:31:49.100,1,2.11,42.03,15.16,2021-09-06
2021-09-06 16:31:54.100,1,2.06,44.58,15.24,2021-09-06
2021-09-06 16:31:59.100,1,2.08,40.43,15.42,2021-09-06
2021-09-06 16:32:04.100,1,1.81,40.43,19.19,2021-09-06
2021-09-06 16:32:09.100,1,2.12,41.71,17.29,2021-09-06
2021-09-06 16:32:14.100,1,1.94,44.59,19.99,2021-09-06
2021-09-06 16:32:19.100,1,2.08,44.94,17.92,2021-09-06
2021-09-06 16:32:24.100,1,2.17,43.44,19.6,2021-09-06
2021-09-06 16:32:29.100,1,1.85,42.18,18.06,2021-09-06
2021-09-06 16:32:34.100,1,1.92,41.69,17.87,2021-09-06
2021-09-06 16:32:39.100,1,2.14,42.69,16.07,2021-09-06
2021-09-06 16:32:44.100,1,1.82,40.61,19.61,2021-09-06
2021-09-06 16:32:49.100,1,1.86,40.73,18.98,2021-09-06
2021-09-06 16:32:54.100,1,1.99,41.09,15.16,2021-09-06
2021-09-06 16:32:59.100,1,1.92,43.66,16.36,2021-09-06
2021-09-06 16:33:04.100,1,1.88,44.04,15.78,2021-09-06
2021-09-06 16:33:09.100,1,2.02,43.09,12.77,2021-09-06
2021-09-06 16:33:14.100,1,1.95,43.02,16.81,2021-09-06
2021-09-06 16:33:19.100,1,1.9,40.32,19.07,2021-09-06
2021-09-06 16:33:24.200,1,2.1,44.27,18.99,2021-09-06
2021-09-06 16:33:29.200,1,2.12,40.43,19.27,2021-09-06
2021-09-06 16:33:34.200,1,2.04,40.94,15.93,2021-09-06
2021-09-06 16:33:39.200,1,1.9,43.81,17.9,2021-09-06
2021-09-06 16:33:44.200,1,2.0,40.64,19.07,2021-09-06
2021-09-06 16:33:49.200,1,1.99,42.29,15.59,2021-09-06
2021-09-06 16:33:54.200,1,2.11,43.7,18.13,2021-09-06
2021-09-06 16:33:59.200,1,1.99,42.77,16.3,2021-09-06
2021-09-06 16:34:04.200,1,1.91,41.73,16.77,2021-09-06
2021-09-06 16:34:09.200,1,2.0,40.61,18.6,2021-09-06
2021-09-06 16:34:14.200,1,2.01,43.96,18.98,2021-09-06
2021-09-06 16:34:19.200,1,1.98,42.61,15.31,2021-09-06
2021-09-06 16:34:24.200,1,2.16,41.62,17.75,2021-09-06
2021-09-06 16:34:29.200,1,2.15,44.22,17.11,2021-09-06
2021-09-06 16:34:34.200,1,1.96,42.85,15.87,2021-09-06
2021-09-06 16:34:39.200,1,1.81,41.07,17.57,2021-09-06
2021-09-06 16:34:44.200,1,2.14,42.93,15.09,2021-09-06
2021-09-06 16:34:49.200,1,1.88,42.21,17.77,2021-09-06
2021-09-06 16:34:54.200,1,2.05,43.35,16.26,2021-09-06
2021-09-06 16:34:59.200,1,1.99,42.43,15.14,2021-09-06
2021-09-06 16:35:04.200,1,2.06,41.64,16.83,2021-09-06
2021-09-06 16:35:09.200,1,1.84,43.23,18.47,2021-09-06
2021-09-06 16:35:14.200,1,1.95,41.87,17.15,2021-09-06
2021-09-06 16:35:19.300,1,2.05,43.37,15.11,2021-09-06
2021-09-06 16:35:24.300,1,1.92,43.23,15.05,2021-09-06
2021-09-06 16:35:29.300,1,2.06,42.63,19.47,2021-09-06
2021-09-06 16:35:34.300,1,2.02,40.76,16.25,2021-09-06
2021-09-06 16:35:59.700,2,1.81,40.8,16.04,2021-09-06
2021-09-06 16:36:04.700,2,1.82,44.68,17.64,2021-09-06
2021-09-06 16:36:09.700,2,2.14,42.57,16.36,2021-09-06
2021-09-06 16:36:14.700,2,2.0,43.28,15.83,2021-09-06
2021-09-06 16:36:19.700,2,2.16,40.11,16.37,2021-09-06
2021-09-06 16:36:24.700,2,2.1,41.98,18.39,2021-09-06
2021-09-06 16:36:29.700,2,1.84,40.65,15.54,2021-09-06
2021-09-06 16:36:34.800,2,1.81,43.29,15.41,2021-09-06
2021-09-06 16:36:39.800,2,1.92,42.38,16.09,2021-09-06
2021-09-06 16:36:44.800,2,1.98,44.55,16.0,2021-09-06
2021-09-06 16:36:49.800,2,1.89,44.71,16.27,2021-09-06
2021-09-06 16:36:54.800,2,2.14,42.99,16.31,2021-09-06
2021-09-06 16:36:59.800,2,1.87,40.54,16.1,2021-09-06
2021-09-06 16:37:04.800,2,1.97,41.0,15.35,2021-09-06
2021-09-06 16:37:09.800,2,2.0,44.17,19.76,2021-09-06
2021-09-06 16:37:14.800,2,1.87,41.85,15.76,2021-09-06
2021-09-06 16:37:19.800,2,2.16,40.64,16.07,2021-09-06
